singular_pronoun
she
her
hers
he
him
they
them
ze
hir
ze
zir
xey
xem
xyr
ae
ey
fae
fey
hu
it
jee
kit
ne
peh
per
sie
se
shi
si
thon
ve
ver
ve
vem
vi
ver
vi
vim
vir
vi
vim
vim
xie
xe
xey
xem
xeir
yo
ze
zem
ze
mer
zee
zie
zir
zie
zem
zie
hir
zme
